nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps
20000,1.0,0.01,1.0,0.8,0.1,0.05,12.54,96.42
20000,1.0,0.01,1.0,0.8,0.1,0.07,12.55,96.25
20000,1.0,0.01,1.0,0.8,0.1,0.1,12.51,96.2
20000,1.0,0.01,1.0,0.9,0.9,0.01,6.78,14.22
20000,1.0,0.01,1.0,0.9,0.9,0.03,6.94,14.06
20000,1.0,0.01,1.0,0.9,0.9,0.05,7.01,13.99
20000,1.0,0.01,1.0,0.9,0.9,0.07,6.79,14.21
20000,1.0,0.01,1.0,0.9,0.9,0.1,6.84,14.16
20000,1.0,0.01,1.0,0.9,0.786,0.01,6.83,14.17
20000,1.0,0.01,1.0,0.9,0.786,0.03,6.8,14.2
20000,1.0,0.01,1.0,0.9,0.786,0.05,6.85,14.15
20000,1.0,0.01,1.0,0.9,0.786,0.07,6.85,14.15
20000,1.0,0.01,1.0,0.9,0.786,0.1,7.01,13.98
20000,1.0,0.01,1.0,0.9,0.618,0.01,6.89,21.63
20000,1.0,0.01,1.0,0.9,0.618,0.03,7.06,21.93
20000,1.0,0.01,1.0,0.9,0.618,0.05,6.84,17.85
20000,1.0,0.01,1.0,0.9,0.618,0.07,6.84,16.06
20000,1.0,0.01,1.0,0.9,0.618,0.1,6.99,15.02
20000,1.0,0.01,1.0,0.9,0.5,0.01,7.33,44.63
20000,1.0,0.01,1.0,0.9,0.5,0.03,6.82,38.36
20000,1.0,0.01,1.0,0.9,0.5,0.05,7.43,36.69
20000,1.0,0.01,1.0,0.9,0.5,0.07,7.25,35.08
20000,1.0,0.01,1.0,0.9,0.5,0.1,7.51,36.13
20000,1.0,0.01,1.0,0.9,0.382,0.01,6.98,50.69
20000,1.0,0.01,1.0,0.9,0.382,0.03,7.27,42.17
20000,1.0,0.01,1.0,0.9,0.382,0.05,7.25,38.98
20000,1.0,0.01,1.0,0.9,0.382,0.07,7.47,39.22
20000,1.0,0.01,1.0,0.9,0.382,0.1,7.46,36.2
20000,1.0,0.01,1.0,0.9,0.2,0.01,8.36,77.1
20000,1.0,0.01,1.0,0.9,0.2,0.03,7.86,66.76
20000,1.0,0.01,1.0,0.9,0.2,0.05,8.08,63.23
20000,1.0,0.01,1.0,0.9,0.2,0.07,7.96,65.34
20000,1.0,0.01,1.0,0.9,0.2,0.1,7.56,57.48
20000,1.0,0.01,1.0,0.9,0.1,0.01,9.42,90.85
20000,1.0,0.01,1.0,0.9,0.1,0.03,9.32,83.64
20000,1.0,0.01,1.0,0.9,0.1,0.05,9.51,86.24
20000,1.0,0.01,1.0,0.9,0.1,0.07,9.41,86.59
20000,1.0,0.01,1.0,0.9,0.1,0.1,9.41,86.34
30000,1.0,0.01,1.0,0.5,0.9,0.01,6.79,14.21
30000,1.0,0.01,1.0,0.5,0.9,0.03,6.81,14.19
30000,1.0,0.01,1.0,0.5,0.9,0.05,6.81,14.19
30000,1.0,0.01,1.0,0.5,0.9,0.07,6.83,14.17
30000,1.0,0.01,1.0,0.5,0.9,0.1,7.03,13.97
30000,1.0,0.01,1.0,0.5,0.786,0.01,6.8,14.2
30000,1.0,0.01,1.0,0.5,0.786,0.03,7.04,13.96
30000,1.0,0.01,1.0,0.5,0.786,0.05,7.0,14.0
30000,1.0,0.01,1.0,0.5,0.786,0.07,7.01,13.99
30000,1.0,0.01,1.0,0.5,0.786,0.1,6.99,14.01
30000,1.0,0.01,1.0,0.5,0.618,0.01,6.97,22.31
30000,1.0,0.01,1.0,0.5,0.618,0.03,6.97,15.52
30000,1.0,0.01,1.0,0.5,0.618,0.05,6.88,15.28
30000,1.0,0.01,1.0,0.5,0.618,0.07,6.91,15.24
30000,1.0,0.01,1.0,0.5,0.618,0.1,6.83,16.17
30000,1.0,0.01,1.0,0.5,0.5,0.01,7.61,46.61
30000,1.0,0.01,1.0,0.5,0.5,0.03,7.56,39.18
30000,1.0,0.01,1.0,0.5,0.5,0.05,7.66,38.94
30000,1.0,0.01,1.0,0.5,0.5,0.07,7.53,39.33
30000,1.0,0.01,1.0,0.5,0.5,0.1,7.79,37.95
30000,1.0,0.01,1.0,0.5,0.382,0.01,8.54,65.85
30000,1.0,0.01,1.0,0.5,0.382,0.03,8.35,60.26
30000,1.0,0.01,1.0,0.5,0.382,0.05,8.23,60.03
30000,1.0,0.01,1.0,0.5,0.382,0.07,8.12,56.4
30000,1.0,0.01,1.0,0.5,0.382,0.1,7.52,50.91
30000,1.0,0.01,1.0,0.5,0.2,0.01,8.55,85.56
30000,1.0,0.01,1.0,0.5,0.2,0.03,8.03,67.69
30000,1.0,0.01,1.0,0.5,0.2,0.05,7.72,66.37
30000,1.0,0.01,1.0,0.5,0.2,0.07,7.82,65.66
30000,1.0,0.01,1.0,0.5,0.2,0.1,7.86,65.75
30000,1.0,0.01,1.0,0.5,0.1,0.01,10.24,90.84
30000,1.0,0.01,1.0,0.5,0.1,0.03,10.34,87.1
30000,1.0,0.01,1.0,0.5,0.1,0.05,10.45,86.5
30000,1.0,0.01,1.0,0.5,0.1,0.07,10.51,86.9
30000,1.0,0.01,1.0,0.5,0.1,0.1,10.53,86.59
30000,1.0,0.01,1.0,0.6,0.9,0.01,7.02,13.98
30000,1.0,0.01,1.0,0.6,0.9,0.03,6.77,14.23
30000,1.0,0.01,1.0,0.6,0.9,0.05,6.83,14.17
30000,1.0,0.01,1.0,0.6,0.9,0.07,7.04,13.96
